portfolio_id,portfolio_name,portfolio_type,layer,era,month,first_trade_date,boundary_date,ledger_effective_date,expanded_switch_date,boundary_source,ledger_verified
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-11-01,2019-11-01,2019-11-04,2019-11-01,2019-11-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2015_2019,2019-12-01,2019-12-02,2019-12-03,2019-12-02,2019-12-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-01-01,2020-01-02,2020-01-03,2020-01-02,2020-01-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-02-01,2020-02-03,2020-02-04,2020-02-03,2020-02-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-04-01,2020-04-01,2020-04-02,2020-04-01,2020-04-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-05-01,2020-05-01,2020-05-04,2020-05-01,2020-05-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-06-01,2020-06-01,2020-06-02,2020-06-01,2020-06-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-07-01,2020-07-01,2020-07-02,2020-07-01,2020-07-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-09-01,2020-09-01,2020-09-02,2020-09-01,2020-09-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-10-01,2020-10-01,2020-10-02,2020-10-01,2020-10-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2020-11-01,2020-11-02,2020-11-03,2020-11-02,2020-11-03,expanded_fallback,f
