name,year_month,month_type,root_cause,signal_mismatch,return_mismatch,prod_signal,gs_signal,prod_return,gs_return,diff_return
シン白虎-常勝,2017-10,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0015680021,0.1771177983378653,0.1786858004378653
シン白虎-常勝,2017-11,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0003306407,0.0120063082214548,0.0123369489214548
シン白虎-常勝,2017-12,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",0.0307590635,0.0446995743689059,0.013940510868905898
シン白虎-常勝,2018-07,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0215772808,0.1095439647552342,0.1311212455552342
シン白虎-常勝,2018-08,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0249070079,0.1600572559840053,0.1849642638840053
シン白虎-常勝,2018-09,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0031041993,0.0142572027808315,0.0173614020808315
シン白虎-常勝,2019-07,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",0.0065369461,0.0203618045789194,0.0138248584789194
シン白虎-常勝,2019-08,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",0.0946987518,-0.0996902941223936,0.1943890459223936
シン白虎-常勝,2019-09,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,GLD,"TQQQ,TECL",-0.0475303468,0.0643013268001165,0.1118316736001165
シン白虎-常勝,2023-10,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",GLD,-0.0436865033,0.0803619119891525,0.1240484152891525
シン白虎-常勝,2023-11,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",GLD,0.3555817565,0.0266434331951128,0.3289383233048872
シン白虎-常勝,2023-12,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",GLD,0.1089654015,0.0139293730036531,0.0950360284963469
シン白虎-激攻,2012-03,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0249247395,0.1423586091738038,0.1672833486738038
シン白虎-激攻,2012-07,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,0.0032973073,0.0408770877770943,0.0375797804770943
シン白虎-激攻,2012-08,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,0.0575461294,0.1304606111281481,0.0729144817281481
シン白虎-激攻,2012-09,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,0.0531350996,0.0421953543119997,0.010939745288000298
シン白虎-激攻,2013-04,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,-0.0904445256,0.0660684008046517,0.1565129264046517
シン白虎-激攻,2013-05,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,-0.0413969146,0.1095255501479235,0.1509224647479235
