pid,name,year_month,prod_signal,prod_holding_signal
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-07,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-08,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-09,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-10,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-11,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2017-12,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-01,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-02,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-03,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-04,"TECL,TQQQ",XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-05,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-06,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-07,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-08,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-09,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-10,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-11,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2018-12,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-01,XLU,XLU
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-02,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-03,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-04,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-05,"TECL,TQQQ","TECL,TQQQ"
